mag,rho,eff_rd
17.2,794328234.724,96.25
17.4,794328234.724,98.75
17.6,794328234.724,96.25
17.8,794328234.724,98.75
18.0,794328234.724,92.5
18.2,794328234.724,97.5
18.4,794328234.724,92.5
18.6,794328234.724,93.75
18.8,794328234.724,80.0
19.0,794328234.724,58.75
19.2,794328234.724,32.5
19.4,794328234.724,23.75
19.6,794328234.724,20.0
19.8,794328234.724,8.75
20.0,794328234.724,5.0
20.2,794328234.724,3.75
20.4,794328234.724,3.75
20.6,794328234.724,3.75
20.8,794328234.724,1.25
21.0,794328234.724,2.5
21.2,794328234.724,6.25
21.4,794328234.724,2.5
21.6,794328234.724,0.0
21.8,794328234.724,3.75
22.0,794328234.724,3.75
22.2,794328234.724,0.0
22.4,794328234.724,0.0
15.4,10000000000.0,100.0
15.6,10000000000.0,97.5
15.8,10000000000.0,100.0
16.0,10000000000.0,95.0
16.2,10000000000.0,100.0
16.4,10000000000.0,100.0
16.6,10000000000.0,95.0
16.8,10000000000.0,100.0
17.0,10000000000.0,98.75
17.2,10000000000.0,97.5
17.4,10000000000.0,96.25
17.6,10000000000.0,96.25
17.8,10000000000.0,93.75
18.0,10000000000.0,97.5
18.2,10000000000.0,92.5
18.4,10000000000.0,83.75
18.6,10000000000.0,77.5
18.8,10000000000.0,68.75
19.0,10000000000.0,36.25
19.2,10000000000.0,25.0
19.4,10000000000.0,17.5
19.6,10000000000.0,10.0
19.8,10000000000.0,7.5
20.0,10000000000.0,5.0
20.2,10000000000.0,6.25
20.4,10000000000.0,5.0
20.6,10000000000.0,2.5
20.8,10000000000.0,3.75
21.0,10000000000.0,3.75
21.2,10000000000.0,6.25
21.4,10000000000.0,5.0
21.6,10000000000.0,3.75
21.8,10000000000.0,0.0
22.0,10000000000.0,0.0
22.2,10000000000.0,0.0
22.4,10000000000.0,0.0
15.4,158489319246.111,100.0
15.6,158489319246.111,100.0
15.8,158489319246.111,100.0
16.0,158489319246.111,100.0
16.2,158489319246.111,100.0
16.4,158489319246.111,100.0
16.6,158489319246.111,100.0
16.8,158489319246.111,98.75
17.0,158489319246.111,98.75
17.2,158489319246.111,93.75
17.4,158489319246.111,100.0
17.6,158489319246.111,96.25
17.8,158489319246.111,93.75
18.0,158489319246.111,95.0
18.2,158489319246.111,95.0
18.4,158489319246.111,81.25
18.6,158489319246.111,67.5
18.8,158489319246.111,32.5
19.0,158489319246.111,18.75
19.2,158489319246.111,12.5
19.4,158489319246.111,11.25
19.6,158489319246.111,8.75
19.8,158489319246.111,5.0
20.0,158489319246.111,6.25
20.2,158489319246.111,7.5
20.4,158489319246.111,1.25
20.6,158489319246.111,3.75
20.8,158489319246.111,2.5
21.0,158489319246.111,2.5
21.2,158489319246.111,1.25
21.4,158489319246.111,5.0
21.6,158489319246.111,0.0
21.8,158489319246.111,0.0
22.0,158489319246.111,0.0
22.2,158489319246.111,0.0
22.4,158489319246.111,0.0
15.4,3548133892335.76,97.5
15.6,3548133892335.76,97.5
15.8,3548133892335.76,97.5
16.0,3548133892335.76,97.5
16.2,3548133892335.76,100.0
16.4,3548133892335.76,97.5
16.6,3548133892335.76,100.0
16.8,3548133892335.76,96.25
17.0,3548133892335.76,96.25
17.2,3548133892335.76,97.5
17.4,3548133892335.76,96.25
17.6,3548133892335.76,97.5
17.8,3548133892335.76,96.25
18.0,3548133892335.76,93.75
18.2,3548133892335.76,83.75
18.4,3548133892335.76,67.5
18.6,3548133892335.76,47.5
18.8,3548133892335.76,30.0
19.0,3548133892335.76,13.75
19.2,3548133892335.76,10.0
19.4,3548133892335.76,7.5
19.6,3548133892335.76,0.0
