mag,rho,eff_rd
16.8,125892541179416.62,90.0
17.0,125892541179416.62,87.5
17.2,125892541179416.62,95.0
17.4,125892541179416.62,92.5
17.6,125892541179416.62,95.0
17.8,125892541179416.62,87.5
18.0,125892541179416.62,65.0
18.2,125892541179416.62,62.5
18.4,125892541179416.62,27.5
18.6,125892541179416.62,27.5
18.8,125892541179416.62,20.0
19.0,125892541179416.62,10.0
19.2,125892541179416.62,10.0
19.4,125892541179416.62,7.5
19.6,125892541179416.62,0.0
19.8,125892541179416.62,7.5
20.0,125892541179416.62,10.0
20.2,125892541179416.62,7.5
20.4,125892541179416.62,2.5
20.6,125892541179416.62,2.5
20.8,125892541179416.62,2.5
21.0,125892541179416.62,0.0
21.2,125892541179416.62,0.0
21.4,125892541179416.62,0.0
21.6,125892541179416.62,0.0
21.8,125892541179416.62,0.0
22.0,125892541179416.62,0.0
22.2,125892541179416.62,0.0
22.4,125892541179416.62,0.0
16.4,6309573444801943.0,100.0
16.6,6309573444801943.0,95.0
16.8,6309573444801943.0,95.0
17.0,6309573444801943.0,97.5
17.2,6309573444801943.0,90.0
17.4,6309573444801943.0,97.5
17.6,6309573444801943.0,85.0
17.8,6309573444801943.0,75.0
18.0,6309573444801943.0,57.5
18.2,6309573444801943.0,37.5
18.4,6309573444801943.0,30.0
18.6,6309573444801943.0,17.5
18.8,6309573444801943.0,17.5
19.0,6309573444801943.0,10.0
19.2,6309573444801943.0,10.0
19.4,6309573444801943.0,5.0
19.6,6309573444801943.0,10.0
19.8,6309573444801943.0,12.5
20.0,6309573444801943.0,7.5
20.2,6309573444801943.0,2.5
20.4,6309573444801943.0,5.0
20.6,6309573444801943.0,7.5
20.8,6309573444801943.0,0.0
21.0,6309573444801943.0,0.0
21.2,6309573444801943.0,0.0
21.4,6309573444801943.0,0.0
21.6,6309573444801943.0,0.0
21.8,6309573444801943.0,0.0
22.0,6309573444801943.0,0.0
22.2,6309573444801943.0,0.0
22.4,6309573444801943.0,0.0
16.4,5.6234132519034906e+17,95.0
16.6,5.6234132519034906e+17,95.0
16.8,5.6234132519034906e+17,92.5
17.0,5.6234132519034906e+17,87.5
17.2,5.6234132519034906e+17,90.0
17.4,5.6234132519034906e+17,90.0
17.6,5.6234132519034906e+17,62.5
17.8,5.6234132519034906e+17,50.0
18.0,5.6234132519034906e+17,40.0
18.2,5.6234132519034906e+17,25.0
18.4,5.6234132519034906e+17,22.5
18.6,5.6234132519034906e+17,22.5
18.8,5.6234132519034906e+17,5.0
19.0,5.6234132519034906e+17,2.5
19.2,5.6234132519034906e+17,10.0
19.4,5.6234132519034906e+17,12.5
19.6,5.6234132519034906e+17,7.5
19.8,5.6234132519034906e+17,5.0
20.0,5.6234132519034906e+17,2.5
20.2,5.6234132519034906e+17,10.0
20.4,5.6234132519034906e+17,2.5
20.6,5.6234132519034906e+17,0.0
20.8,5.6234132519034906e+17,0.0
21.0,5.6234132519034906e+17,0.0
21.2,5.6234132519034906e+17,0.0
21.4,5.6234132519034906e+17,0.0
21.6,5.6234132519034906e+17,0.0
21.8,5.6234132519034906e+17,0.0
22.0,5.6234132519034906e+17,0.0
22.2,5.6234132519034906e+17,0.0
22.4,5.6234132519034906e+17,0.0
16.4,7.94328234724279e+19,100.0
16.6,7.94328234724279e+19,90.0
16.8,7.94328234724279e+19,97.5
17.0,7.94328234724279e+19,95.0
17.2,7.94328234724279e+19,90.0
17.4,7.94328234724279e+19,62.5
17.6,7.94328234724279e+19,50.0
17.8,7.94328234724279e+19,42.5
18.0,7.94328234724279e+19,37.5
18.2,7.94328234724279e+19,17.5
18.4,7.94328234724279e+19,15.0
18.6,7.94328234724279e+19,10.0
18.8,7.94328234724279e+19,7.5
19.0,7.94328234724279e+19,5.0
19.2,7.94328234724279e+19,5.0
19.4,7.94328234724279e+19,10.0
19.6,7.94328234724279e+19,5.0
19.8,7.94328234724279e+19,7.5
20.0,7.94328234724279e+19,2.5
20.2,7.94328234724279e+19,0.0
20.4,7.94328234724279e+19,0.0
20.6,7.94328234724279e+19,0.0
20.8,7.94328234724279e+19,0.0
21.0,7.94328234724279e+19,0.0
21.2,7.94328234724279e+19,0.0
21.4,7.94328234724279e+19,0.0
21.6,7.94328234724279e+19,0.0
21.8,7.94328234724279e+19,0.0
22.0,7.94328234724279e+19,0.0
22.2,7.94328234724279e+19,0.0
22.4,7.94328234724279e+19,0.0
16.4,2.238721138568347e+22,95.0
16.6,2.238721138568347e+22,95.0
16.8,2.238721138568347e+22,100.0
17.0,2.238721138568347e+22,80.0
17.2,2.238721138568347e+22,65.0
17.4,2.238721138568347e+22,60.0
17.6,2.238721138568347e+22,60.0
17.8,2.238721138568347e+22,15.0
